Date,Electricity,Gas
20160303,10.52934291,9.746207003
20160304,9.485716371,9.507806271
20160305,9.833103748,8.415007529
20160306,10.90604988,9.299781364
20160307,10.27166093,10.26762298
20160308,9.001337821,9.53253766
20160309,9.238320492,9.697052394
20160310,9.188361798,9.972878841
20160311,9.411042241,10.86866766
20160312,8.946255744,9.455025487
20160313,9.961492225,8.440518282
20160314,9.951813737,10.19466394
20160315,120.0278127,10.27056487
20160316,10.53276836,9.291227629
20160317,10.39096325,9.449431489
20160318,9.47491493,10.33137181
20160319,9.611618979,10.73654298
20160320,10.27885702,10.27813201
20160321,10.219688,11.37871152
20160322,9.571328097,10.60034301
20160323,8.973795386,9.697443271
20160324,10.33817924,9.439706837
20160325,9.922891908,8.676472846
20160326,9.935347981,9.597828198
20160327,9.558002199,11.48198452
20160328,10.159188,10.52077217
20160329,11.1564933,9.923385503
20160330,10.79822553,10.7237029
20160331,10.85230801,10.74816642
20160401,9.354354166,6.886184301
20160402,9.093890688,9.494733923
20160403,9.973628378,9.569933064
20160404,8.291476744,9.142138503
20160405,9.994161715,8.851133523
20160406,8.578738351,9.483351152
20160407,8.903540691,9.012825242
20160408,9.603764134,8.949743885
20160409,9.42781936,8.948272917
20160410,8.853182169,10.33482114
20160411,7.912257251,9.805198615
20160412,8.236449047,10.52750132
20160413,9.104223844,9.551255373
20160414,8.981383033,8.44567778
20160415,10.87463717,10.47163776
20160416,7.201105864,7.921575923
20160417,108.7195798,8.905801427
20160418,7.754657701,9.471336992
20160419,6.40301152,10.59026399
20160420,10.57394191,107.7824011
20160421,11.17657139,9.50880308
20160422,8.167245629,8.463552144
20160423,10.48555035,7.670806437
20160424,72.40471815,10.33171741
20160425,7.812746961,7.876978717
20160426,8.261074461,9.147074237
20160427,9.403032001,9.296650417
20160428,8.730929541,9.394332784
20160429,8.863075587,8.366418662
20160430,7.629639387,9.020961989
20160501,3.769595089,4.615306252
20160502,6.981963145,7.398915244
20160503,4.638308224,4.351411192
20160504,2.736502818,5.205517475
20160505,5.977698575,6.62094434
20160506,5.518612483,6.885901566
20160507,5.310613807,4.397521478
20160508,5.60021775,7.332532479
20160509,9.929506238,5.620877986
20160510,5.417531725,3.94439539
20160511,5.630566708,5.488808634
20160512,5.04808323,4.749643262
20160513,4.386625127,5.877038183
20160514,6.819736541,6.285235246
20160515,5.866708327,7.6224175
20160516,4.693190671,5.99030074
20160517,4.167974731,3.290510717
20160518,5.773486095,7.654752514
20160519,5.640194238,6.977296715
20160520,7.930648547,6.719209324
20160521,5.391368645,5.514720883
20160522,7.994975722,6.117715938
20160523,3.171051542,7.87537437
20160524,5.716793815,3.919499931
20160525,7.213662766,6.539234316
20160526,2.465745815,5.759451947
20160527,7.08425878,6.426000168
20160528,6.194557107,5.925082096
20160529,6.128721288,5.650270659
20160530,7.663341449,6.633459773
20160531,7.757195496,5.926868445
20160601,10.22344569,10.27163583
20160602,10.63566242,8.159597594
20160603,10.56511347,11.3881541
20160604,11.9132257,12.10124668
20160605,9.18115452,11.04546144
20160606,10.01675767,7.661616123
20160607,10.31405227,8.122325963
20160608,11.2162967,13.2240225
20160609,9.74993095,10.52606142
20160610,11.91995196,7.942594833
20160611,11.08760136,9.704060912
20160612,12.0957937,9.373325707
20160613,10.07559556,8.217826542
20160614,10.21369103,11.01901633
20160615,9.734295298,7.649913438
20160616,8.138199042,7.386768891
20160617,10.67535788,7.142449981
20160618,7.053994412,11.18573957
20160619,8.030273735,8.904827828
20160620,11.40025735,12.96531626
20160621,9.199044795,9.439844377
20160622,9.550760105,9.85226198
20160623,9.207371006,139.0392056
20160624,9.75936413,83.5924393
20160625,8.953098263,7.321109746
20160626,8.922918871,7.798784862
20160627,11.18196199,10.79632383
20160628,9.597005129,10.34424275
20160629,9.336058675,12.57730637
20160630,10.3386161,9.84763494
20160701,3.532916598,5.832125394
20160702,3.927408128,3.85684511
20160703,6.365540522,4.309031576
20160704,2.71377566,6.540659446
20160705,16.91673191,5.159650702
20160706,4.956966109,3.851902875
20160707,7.741001573,5.455860175
20160708,3.564622666,3.661432012
20160709,5.048729228,3.679094617
20160710,0.900152471,2.239429353
20160711,11.25924134,10.67395258
20160712,22.39818114,2.957733862
20160713,2.770339107,4.86722532
20160714,5.285248814,4.793285247
20160715,3.396055978,4.133325893
20160716,3.253671248,5.153708933
20160717,2.67376221,4.796605328
20160718,4.355694969,4.087792616
20160719,3.483159431,3.156018516
20160720,4.748427412,2.85382713
20160721,2.748149015,4.234487392
20160722,2.795803608,4.669218871
20160723,2.829388473,2.312601165
20160724,3.242377728,5.666997919
20160725,2.987915079,3.533366155
20160726,3.362383962,5.243580089
20160727,3.827190286,6.494148887
20160728,3.429008839,4.097655006
20160729,4.274874433,5.526158243
20160730,2.311051379,5.755470354
20160731,3.505055046,3.819535196
20160801,6.838454051,4.729172024
20160802,4.022226906,3.214045909
20160803,4.339483626,6.396227231
20160804,2.077549933,7.269149952
20160805,4.886063427,6.100397176
20160806,4.950238783,6.679545963
20160807,5.005995666,5.914187414
20160808,5.748579916,5.770772701
20160809,6.908765481,5.037825272
20160810,5.548691078,2.370203089
20160811,4.87693949,5.809740617
20160812,5.941332747,4.385260669
20160813,26.78735207,4.223245598
20160814,4.210187585,1.771902925
20160815,5.018600234,5.043321837
20160816,4.560872239,4.46097706
20160817,5.194075223,6.868704827
20160818,5.090525442,3.391902058
20160819,4.403688364,6.313617489
20160820,6.583188153,4.246670955
20160821,3.233643626,2.740922455
20160822,2.860650919,3.905272659
20160823,3.930339271,4.41321354
20160824,6.148215025,5.180804703
20160825,6.046189488,3.702640189
20160826,4.716008379,7.093890879
20160827,4.661376008,4.26166563
20160828,4.342099626,4.384817523
20160829,3.282662933,6.230219522
20160830,4.417314648,6.090262841
20160831,3.896109541,5.310814331
20160901,8.902520928,7.493786348
20160902,6.904403318,6.13701878
20160903,6.74600028,6.480253942
20160904,6.862657776,5.513863483
20160905,6.778368352,7.553049838
20160906,5.469832832,5.570417044
20160907,6.664372122,6.52895433
20160908,6.593879112,6.861203373
20160909,7.137403361,7.889273392
20160910,6.477763079,7.496125256
20160911,6.753782415,7.322060999
20160912,7.913734388,8.331885686
20160913,7.86456145,5.620231134
20160914,7.32333989,6.913101078
20160915,6.055356498,7.133480567
20160916,6.352308375,5.852053932
20160917,7.973993281,53.7198899
20160918,6.724213805,7.389742213
20160919,9.064372016,8.346269855
20160920,5.75351172,6.090022502
20160921,6.578972145,49.86864757
20160922,6.184463899,6.09559388
20160923,6.198572488,7.66635377
20160924,6.366002602,8.810563633
20160925,7.240527865,4.764040757
20160926,7.257664214,7.406166875
20160927,6.59292202,7.289375303
20160928,6.761869744,6.008169181
20160929,8.595703561,8.64124151
20160930,7.503998679,8.276553074
20161001,10.54931601,8.89066919
20161002,11.41597001,11.75642358
20161003,11.01125677,11.9687951
20161004,11.03137792,11.98505439
20161005,9.50929059,10.62059253
20161006,9.047618747,12.98734549
20161007,9.28478804,13.0140884
20161008,11.24051975,13.37592156
20161009,12.32708788,10.7792758
20161010,10.81190864,10.74212396
20161011,9.025641227,11.92566431
20161012,10.1120141,9.568264549
20161013,8.071886118,11.71218802
20161014,13.17735284,13.69820958
20161015,10.80733511,13.30798625
20161016,9.757801348,9.308590449
20161017,9.416565837,11.26548741
20161018,10.56891964,11.19354321
20161019,9.123158395,10.55722556
20161020,11.77886281,11.39855711
20161021,9.501074264,10.73898315
20161022,12.402762,10.37908753
20161023,12.74670226,12.85911473
20161024,9.86113517,6.57103425
20161025,11.86673072,10.7581849
20161026,11.88096919,11.57151099
20161027,9.909026752,13.50398896
20161028,10.10228729,12.9528327
20161029,11.1589109,8.22607496
20161030,10.73148241,11.17828291
20161031,11.72794504,10.56355705
20161101,11.35913635,12.44516944
20161102,10.28068606,11.42013344
20161103,11.95908611,12.08342058
20161104,11.81017941,10.78528811
20161105,12.36496721,12.59611826
20161106,12.92730703,13.71619713
20161107,11.18550524,12.70009004
20161108,12.34191426,12.52552643
20161109,10.07040255,13.26508526
20161110,12.2706156,11.74822292
20161111,143.4748112,11.56640845
20161112,11.41110374,13.25053659
20161113,12.3918843,12.91747228
20161114,10.75104689,12.41589946
20161115,12.68670951,11.59193548
20161116,12.52906985,14.39624206
20161117,12.90506768,10.35264658
20161118,11.98991341,12.48791423
20161119,10.59321294,10.75341376
20161120,12.76056831,12.33611677
20161121,11.68373646,10.70869834
20161122,12.2250012,12.50416849
20161123,12.76699901,11.76889378
20161124,11.13347848,13.29597358
20161125,11.25706935,12.87087161
20161126,11.92578132,10.60164378
20161127,12.12040244,12.2066961
20161128,13.40539549,9.950958987
20161129,13.69539041,11.49500101
20161130,10.54775397,13.22258702
20161201,9.537624163,9.201598025
20161202,11.252309,9.115899705
20161203,9.835988138,10.55040593
20161204,10.42897919,11.4124968
20161205,10.30228311,9.57463406
20161206,9.64570533,11.15943618
20161207,10.83507545,10.90780696
20161208,9.257415468,10.35416611
20161209,9.221809322,10.84585398
20161210,11.40789895,10.91148246
20161211,9.489768965,10.64175479
20161212,10.06080997,10.22430943
20161213,9.294334497,9.301106789
20161214,10.27821782,10.54586355
20161215,9.100156725,10.15541223
20161216,10.35368517,9.354430547
20161217,9.288880862,12.02833586
20161218,8.825898051,10.52787788
20161219,9.697589484,87.46114557
20161220,9.411628859,11.14609988
20161221,10.00062094,10.9654012
20161222,8.080321948,10.98913345
20161223,8.471110612,10.01836198
20161224,10.56642109,9.353050434
20161225,10.01345576,7.583545415
20161226,10.48253518,8.64937996
20161227,10.10134644,11.10716739
20161228,91.59529451,10.50445711
20161229,11.0970741,10.72317501
20161230,9.530193059,9.277597852
20161231,9.081244283,10.7129272
