Date,house_a,house_b,house_c,house_d
20160714,5.219024858,8.317760582,7.009295935,12.04211087
20160715,7.353888326,8.620568231,5.561671736,9.579121979
20160716,6.789095555,8.113081089,7.404858346,12.95479053
20160717,7.93007024,9.687245092,7.473309378,9.84730277
20160718,7.537615318,9.667659053,6.104065916,8.601393675
20160719,6.06121885,9.842485505,7.850486381,8.47255256
20160720,5.80426924,9.467391529,5.451064909,12.41462041
20160721,6.513562631,8.141493958,6.385290555,10.70871481
20160722,5.603074365,8.668728224,6.306916197,11.28999816
20160723,7.081308734,9.050366022,6.725148103,9.560966095
20160724,7.639714922,8.681068721,5.841978112,8.79713462
20160725,7.067874651,9.291282513,5.367958596,10.82655756
20160726,7.26794589,9.311429943,5.624515608,10.96721183
20160727,5.526277389,9.248456567,5.485556223,9.266613236
20160728,5.604657525,9.902267887,7.016789792,9.826827099
20160729,7.643511917,9.009830615,5.868899518,10.37285989
20160730,5.449097192,8.027768908,6.213150815,10.23168679
20160731,5.230220689,8.013383138,7.377518593,9.648558729
20160801,7.922220246,9.254941187,7.741729025,10.49010605
20160802,7.362904884,9.433063444,5.67839043,10.94509579
20160803,5.234268975,9.400168286,6.363840791,9.158841737
20160804,5.385231314,8.311641156,6.876824723,8.185186061
20160805,7.073650241,9.039282931,6.116284411,10.8337455
20160806,5.601015203,8.125470846,7.989158143,8.8590841
20160807,7.487136226,9.871641625,6.992202535,12.71759207
20160808,5.199173592,8.074893424,5.424577705,10.81930952
20160809,5.32751592,9.976422421,6.520415792,12.32435
20160810,7.437148998,8.577480848,6.152101284,12.36913374
20160811,5.759497739,9.159570988,6.993461896,11.45574342
20160812,5.329906145,8.826275082,6.117614582,8.951854842
20160813,7.397005615,8.132315538,5.700389072,10.05389066
20160814,6.468037542,9.466237908,6.486471737,9.495518937
20160815,6.549005647,8.010521432,7.475483517,11.97336502
20160816,5.387032465,9.726242801,6.976674939,12.63913072
20160817,5.626395109,8.201411195,7.047897134,8.625789771
20160818,7.711483031,8.175801674,7.257859438,11.01740133
20160819,6.152269384,8.528512683,7.025336014,11.8266381
20160820,5.523432003,8.836506627,5.909581513,9.636162707
20160821,6.36024837,8.859201447,7.730402008,9.473987046
20160822,7.359886888,8.428180197,7.557021885,9.576963984
20160823,5.783936527,9.654402502,7.123323067,11.5900779
20160824,5.530128042,8.233911615,6.755143819,12.56207509
20160825,5.25442392,9.850188617,5.841175328,12.55153632
20160826,6.516483714,8.921552674,7.892198344,8.873066241
20160827,6.247773766,8.322433528,6.233918267,12.73244753
20160828,5.286461866,8.209345127,5.392206579,10.56278708
20160829,7.266047859,8.30260347,7.135709964,8.9900358
20160830,6.777310901,8.893620189,6.80680588,9.426626162
20160831,7.848971542,8.973826173,7.862771486,11.05136819
20160901,6.650576592,8.26429612,5.459072105,12.59773727
20160902,7.760411888,9.630673243,6.046096418,12.95532977
20160903,7.008566863,9.741714713,6.316328344,12.72216877
20160904,6.007707068,8.736868356,7.463596547,12.34506014
20160905,7.533872204,9.378166628,7.466388388,11.69633094
20160906,6.390510731,9.227109538,6.067651639,10.02808602
20160907,6.796761197,8.719127483,7.233075886,11.356162
20160908,5.707118017,8.497451833,5.065570883,9.995850983
20160909,6.944141481,8.689181474,5.658205176,11.60331956
20160910,7.482351457,9.260723982,5.778041313,9.042547035
20160911,6.630161189,9.110325591,7.333634265,12.74197626
20160912,6.64318922,8.018750636,7.682953814,9.230278917
20160913,6.96991351,8.265310171,5.126060574,11.2371452
20160914,6.214120491,9.561055475,7.521503364,9.852087095
20160915,6.184490325,9.774979988,5.079920636,8.943785192
20160916,6.001435941,9.599375268,6.191832607,12.3681884
20160917,7.829226268,8.18336503,6.715803691,11.43774863
20160918,7.753570765,9.541764198,7.228020894,12.98537411
20160919,7.276278545,9.214799396,6.344665595,9.047388094
20160920,7.59889365,9.450982873,6.577388568,12.59455428
20160921,6.700158757,9.818228952,5.554149356,9.952647919
20160922,7.823690339,9.64580498,7.512362318,11.90943592
20160923,7.379593104,9.62811431,6.180649006,8.54520758
20160924,7.612781932,8.47889685,5.367457991,8.183291466
20160925,5.239812996,8.683102624,6.460015095,12.52495362
20160926,5.217758866,9.210136096,6.348902106,9.990694683
20160927,7.346501144,8.875437407,6.880171515,9.936640772
20160928,6.107629518,9.054846165,5.290104626,8.502778658
20160929,7.307492784,8.241112298,6.599232485,8.008743134
20160930,7.904887839,9.29401545,5.495241505,8.933125916
20161001,5.336830741,9.786833017,6.442897446,11.17099411
20161002,7.30001514,8.456569826,6.725411493,11.21133822
20161003,5.955994581,9.748322636,5.322805517,12.2160491
20161004,6.811696588,9.971078805,7.733580953,8.774767772
20161005,6.595180944,9.937863383,7.839972592,8.269079141
20161006,6.168632929,8.010482766,5.870572057,11.01938551
20161007,5.592733074,9.225831505,5.057300345,12.42976241
20161008,6.190046812,9.388575148,6.361573634,10.89662685
20161009,5.602560206,9.227443327,5.675621898,10.38775403
20161010,6.743905508,8.702451854,5.991556605,11.06958386
20161011,7.503555969,8.319491297,5.42832911,12.69676123
20161012,5.872207882,8.627112727,6.218707171,11.48255873
20161013,7.615187724,9.387717013,6.188165736,12.00450534
20161014,6.15353331,8.598358941,6.927988343,9.914648856
20161015,5.584316936,9.521806905,5.529571755,12.61368309
20161016,6.705805415,9.137833186,6.524207042,11.72924952
20161017,6.454597439,9.244073761,7.51406368,12.82904101
20161018,7.001570006,9.756379697,6.007571561,8.419244801
20161019,6.669791932,9.52510556,5.664528916,9.400085539
20161020,5.438533763,9.774189217,5.435243085,12.45368265
20161021,7.717758663,9.843513608,7.124888169,9.730064425
20161022,5.39342145,8.632862715,5.079978272,9.971722171
20161023,7.420338961,9.001228546,5.975548405,9.730144615
20161024,6.777418843,9.797089345,7.58741596,12.60897071
20161025,7.01575843,9.759008941,6.508864068,12.95311951
20161026,7.292935359,9.835724116,5.621926668,9.002242765
20161027,7.709248911,9.827251453,5.123978328,12.48739813
20161028,5.937597796,8.886637849,7.493267329,10.42043074
20161029,7.39923873,9.139111816,6.675191219,12.19102638
20161030,6.002972885,8.613521033,5.075949754,8.464362267
20161031,5.313910681,9.022216206,6.132602881,8.631643639
20161101,6.829361606,8.909727007,6.888875332,8.17677398
20161102,6.632907394,8.526922939,6.951968599,10.15404124
20161103,5.372154849,8.402939626,5.824082536,11.86622613
20161104,7.298334692,8.840846907,5.202931371,12.89475242
20161105,7.127280591,9.41643025,6.939361063,9.816896375
20161106,6.134964779,8.725672262,5.739522069,8.34067549
20161107,7.275019398,9.585742398,7.082447884,11.18848367
20161108,6.333791449,8.435239165,7.665678552,10.65608743
20161109,5.161510397,9.230380304,7.228775632,12.8872704
20161110,5.95844128,9.006784308,6.627601862,10.00657134
20161111,6.20642791,8.375281663,6.910756808,9.680345718
20161112,7.760161345,9.565725023,7.909622609,12.68088414
20161113,5.173054865,8.627895204,5.563932949,9.607551518
20161114,5.320614916,9.373509954,7.777912144,11.22627111
20161115,5.677108616,8.004836011,7.481079425,9.488678341
20161116,5.082028161,8.119011012,6.562179346,11.03184627
20161117,6.102106392,9.100191071,6.527129839,12.50030719
20161118,6.628050097,8.056367478,5.228091613,8.112307924
20161119,7.017057648,8.609153042,6.979482413,12.71566903
20161120,6.718856031,9.180956019,7.132371832,12.03329335
20161121,6.623295278,9.227031578,5.754674746,10.48157109
20161122,7.880237002,8.860642087,7.485283121,10.72181028
20161123,6.130100268,9.283611492,7.800349323,9.296559325
20161124,7.706513404,8.55328409,7.413062371,12.30293906
20161125,7.171212913,9.043627001,5.009185413,12.39143627
20161126,7.51381072,9.784712064,6.422516348,10.89501508
20161127,7.66892689,9.249038069,6.413493893,10.03433556
20161128,5.886458481,8.216308549,7.484885419,12.4354551
20161129,5.866521647,9.676657419,7.765511354,9.847936042
20161130,5.418746455,8.539112555,7.708964755,9.273133357
20161201,6.920208828,8.489234363,6.646208848,10.13936217
20161202,7.584550829,9.8340399,7.924737905,8.303791894
20161203,5.088131052,9.35094869,7.520256728,11.58875058
20161204,7.432854466,9.236276818,5.02187203,11.57600929
20161205,7.872109874,9.766800145,5.290531292,9.07883948
20161206,5.488463268,9.506763456,5.203756454,11.01329919
20161207,6.279526296,8.090772179,5.327268569,9.428312313
20161208,5.030677208,9.003034703,6.026809441,9.281137758
20161209,6.271504756,9.508826668,7.440277165,10.76059106
20161210,5.703238868,9.897109751,6.438968949,10.06830774
20161211,7.009177672,9.371456875,6.561888372,12.28876447
20161212,5.560899065,9.80821258,6.824513221,8.873501523
20161213,7.872946958,9.759982996,6.765554712,10.20493905
20161214,6.5377546,9.967947788,7.240677703,12.44329045
20161215,7.473830334,9.07280454,5.923753131,10.31657748
20161216,5.180407834,9.317053444,5.698246046,12.33932964
20161217,6.455661353,9.222935401,5.891271793,12.91472931
20161218,5.484219548,8.760535172,5.552334791,11.40884531
20161219,7.097808476,9.037108169,5.48526261,11.20229746
20161220,5.966296445,9.26756957,6.721824826,12.91448746
20161221,6.673434348,8.90324153,6.202547073,10.86171956
20161222,6.813980798,8.642633031,7.6433892,9.901811161
20161223,7.470860997,8.358920948,5.329882532,11.6842035
20161224,7.530694838,9.221573866,7.010541004,11.70827814
20161225,6.132576741,9.630476517,7.251976562,11.45571831
20161226,6.313794714,8.010822348,6.644227384,8.364056568
20161227,5.976238929,9.328872966,7.479742707,10.43400696
20161228,6.004681485,9.853890591,7.425686958,8.912727554
20161229,5.765331998,9.50078185,6.036236035,10.45872355
20161230,5.009721572,8.732409605,5.63020988,11.90692813
20161231,5.33996631,9.176556455,6.189186812,8.219941207
