Date,Badfield
20160529,6.88931506
20160530,4.671393809
20160531,6.099145479
20160601,9.294276441
20160602,9.79021546
20160603,9.177532299
20160604,9.095273232
20160605,8.742988182
20160606,13.65437636
20160607,6.621681424
20160608,6.074192607
20160609,12.28314592
20160610,7.516370988
20160611,8.857258071
20160612,11.30688296
20160613,8.730597759
20160614,9.242408658
20160615,8.528571444
20160616,11.37348653
20160617,10.56414906
20160618,9.984161026
20160619,8.527149371
20160620,9.296563335
20160621,8.010884638
20160622,8.519964501
20160623,10.65318297
20160624,9.828846505
20160625,9.78617611
20160626,10.24168829
20160627,9.238986943
20160628,9.918897443
20160629,10.84041212
20160630,10.76058001
20160701,5.231294871
20160702,3.785040511
20160703,3.772147064
20160704,4.066720047
20160705,4.652510424
20160706,4.266244272
20160707,3.169018742
20160708,3.669960047
20160709,5.179016308
20160710,5.027933803
20160711,2.325970795
20160712,3.805944767
20160713,5.522490026
20160714,3.341483138
20160715,1.678035441
20160716,5.188130233
20160717,2.00458802
20160718,3.382893797
20160719,5.568147784
20160720,3.353851288
20160721,4.621352281
20160722,4.153786116
20160723,4.013807951
20160724,3.236690331
20160725,3.447595199
20160726,4.755270475
20160727,3.755100868
20160728,4.372523423
20160729,3.582692884
20160730,4.021182942
20160731,3.087145673
20160801,4.37708431
20160802,3.606420173
20160803,5.112318898
20160804,5.350726716
20160805,6.461525971
20160806,4.304788299
20160807,4.131923033
20160808,6.013214852
20160809,5.980243514
20160810,6.172966365
20160811,5.160213155
20160812,5.886702122
20160813,2.806381917
20160814,4.868956773
20160815,5.703061454
20160816,7.344441158
20160817,4.449207578
20160818,5.64601909
20160819,3.370180348
20160820,4.443685487
20160821,5.873763448
20160822,5.512897522
20160823,6.36417661
20160824,6.63723136
20160825,3.505120791
20160826,5.129418837
20160827,5.942020991
20160828,6.199595209
20160829,6.919518126
20160830,4.846087063
20160831,4.618458269
20160901,7.137000576
20160902,5.022325858
20160903,6.179551681
20160904,6.031485475
20160905,8.098275459
20160906,7.130413691
20160907,7.601286595
20160908,6.726053808
20160909,4.675716957
20160910,8.073875484
20160911,7.02903645
20160912,7.545768801
20160913,7.462824344
20160914,5.854906843
20160915,7.569516806
20160916,7.130434515
20160917,6.56483481
20160918,7.113568174
20160919,8.27957321
20160920,7.387603479
20160921,7.074163627
20160922,6.724271244
20160923,5.694631754
20160924,6.764342285
20160925,5.746393758
20160926,6.99221914
20160927,7.474570019
20160928,5.935879126
20160929,7.101058633
20160930,5.934658171
20161001,11.19482842
20161002,13.74352016
20161003,9.556185717
20161004,11.57063289
20161005,12.32877489
20161006,10.85247557
20161007,8.245317
20161008,9.272685977
20161009,13.92382775
20161010,13.36273662
20161011,10.14376094
20161012,13.34104819
20161013,133.9399365
20161014,10.19691086
20161015,12.53893192
20161016,11.2900065
20161017,11.71650436
20161018,7.581476692
20161019,11.07646835
20161020,10.19673841
20161021,10.33934982
20161022,8.053859626
20161023,10.03757922
20161024,10.72831961
20161025,9.885675638
20161026,11.82161706
20161027,12.49457852
20161028,12.33546628
20161029,12.71845987
20161030,9.134101966
20161031,9.040136416
20161101,11.67194665
20161102,12.60662415
20161103,10.60661687
20161104,13.9970511
20161105,10.78541118
20161106,11.91688117
20161107,12.06489766
20161108,12.08036719
20161109,12.52187686
20161110,11.74104666
20161111,11.92202906
20161112,13.21472905
20161113,13.10180098
20161114,11.81816209
20161115,12.12456847
20161116,10.96238056
20161117,12.35114806
20161118,12.10957459
20161119,11.79511195
20161120,13.32283129
20161121,12.28035128
20161122,12.24520789
20161123,11.38363423
20161124,12.16008657
20161125,10.69434819
20161126,12.23828008
20161127,13.95142545
20161128,10.2945605
20161129,11.52620192
20161130,11.99711384
20161201,9.248923663
20161202,10.48044627
20161203,9.822058038
20161204,10.04879816
20161205,10.6859097
20161206,8.062472407
20161207,10.73967352
20161208,11.49765387
20161209,9.885862496
20161210,9.657971446
20161211,9.673741869
20161212,10.0673049
20161213,8.515050662
20161214,10.07482611
20161215,9.741470789
20161216,10.34701906
20161217,9.487502682
20161218,11.30000661
20161219,10.01145201
20161220,9.713086432
20161221,10.74286653
20161222,11.48500814
20161223,11.55098814
20161224,12.16176218
20161225,9.29206918
20161226,9.31482393
20161227,9.614536809
20161228,10.2421119
20161229,11.90716259
20161230,10.10982676
20161231,10.62045943
